LRU/SRU P/N Product Line Desc,FAILURE OPEN DATE,Failed Item Description,Failed Item,Fail Code Desc,Fail Cat Desc,Rep Act Code Des
C ,30/03/2023,AMC,MB0807D-22,Tester Issue,low temp,Retest
C ,30/03/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,30/03/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
P ,31/03/2023,COMMON DEP TOP ASSY,MB1658B-00,Visual Inspection,Optical,Cleaning
C ,31/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Defect LRU,RT,Repair
C ,31/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Defect LRU,RT,Repair
C ,02/04/2023,AMC,MB0807DA-22,SRU Issue,Hardware,Replaced SRU
C ,02/04/2023,DTD UNIT,MB0946C-07,SRU Issue,low temp,Replaced SRU
C ,02/04/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,02/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,02/04/2023,CDDM TOP ASSY,MB1268D-03,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,03/04/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Re Calibration
P ,04/04/2023,PWA PS-ANA-DIG,115961A-01,SRU Issue,electrical,Replaced SRU
M ,04/04/2023,PDCR,602-31-00140-02,Operator Mistake,low temp,Retest
C ,13/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,13/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,13/04/2023,AMC,MB0807D-22,SRU Issue,,Replaced SRU
C ,14/04/2023,AMC,MB0807D-22,SRU Issue,RT,Replaced SRU
M ,16/04/2023,EPDU PDU - II BOARD ASSY,96-31-00010-01,Component Issue,electrical,Replaced/add Component
C ,16/04/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,17/04/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
P ,18/04/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,18/04/2023,"CABLE ASSY, CHMD NIGHT",080112D-00,SRU Issue,electrical,Replaced SRU
P ,18/04/2023,"CABLE ASSY, CHMD NIGHT",080112D-00,SRU Issue,electrical,Replaced SRU
P ,18/04/2023,"CABLE ASSY, CHMD NIGHT",080112D-00,SRU Issue,electrical,Replaced SRU
C ,19/04/2023,DTD UNIT,MB0946CB-07,Defect LRU,Mechanical,Repair
C ,19/04/2023,DTD UNIT,MB0946CB-07,Defect LRU,Mechanical,Repair
C ,19/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,19/04/2023,AMC,MB0807D-22,Assembly Issue,Workmanship,Replaced SRU
C ,19/04/2023,DTD UNIT,MB0946C-07,Defect LRU,low temp,Repair
P ,19/04/2023,WCDDM TOP ASSY,MB1403B-01,ECO,electrical,Preform ECO
C ,19/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,19/04/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
C ,19/04/2023,DTD UNIT,MB0946C-07,Can Not Duplicate,Can Not Duplicate,No repair action was taken
C ,19/04/2023,DTD UNIT,MB0946CB-07,Defect LRU,RT,Repair
C ,20/04/2023,DTD UNIT,MB0946CB-07,SRU Issue,electrical,Replaced SRU
P ,20/04/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
C ,20/04/2023,DTD UNIT,MB0946CB-07,SRU Issue,electrical,Replaced SRU
C ,20/04/2023,DTD UNIT,MB0946CB-07,SRU Issue,electrical,Replaced SRU
M ,20/04/2023,IO DAUGHTER BOARD ASSY,97-40-31005-01,Component Issue,Engineering,Replaced/add Component
P ,20/04/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Retest
P ,20/04/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,20/04/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
C ,21/04/2023,AMC,MB0807DA-22,SRU Issue,Hardware,Replaced SRU
C ,21/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,21/04/2023,AMC,MB0807D-22,Component Issue,Hardware,Replaced/add Component
C ,21/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Rework
P ,21/04/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
C ,24/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,24/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Repair
C ,24/04/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
M ,24/04/2023,FUEL FLOW BOARD ASSY,80-70-00010-01,Component Issue,electrical,Replaced/add Component
C ,25/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,27/04/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced SRU
M ,27/04/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced SRU
M ,27/04/2023,RMSC,93-30-00200-05,SRU Issue,electrical,No repair action was taken
M ,27/04/2023,MAC,951-30-00100-04,SRU Issue,electrical,Replaced/add Component
M ,27/04/2023,MAC,951-30-00100-04,SRU Issue,electrical,Replaced/add Component
C ,28/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,28/04/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,30/04/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,30/04/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
P ,30/04/2023,WCDDM TOP ASSY,MB1403A-00,Optical Issue,Optical,Re Calibration
C ,30/04/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
C ,30/04/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
M ,30/04/2023,SMART SIM ASSY,950-31-00350-02,Assembly Issue,low temp,Rework
P ,01/05/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Replaced SRU
M ,01/05/2023,GVIU MODULE TOP ASSY,MB669B-03,SRU Issue,electrical,Replaced/add Component
C ,02/05/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,Software,Replaced SRU
C ,02/05/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,Software,Replaced SRU
P ,02/05/2023,WCDDM TOP ASSY,MB1403A-00,Cleaning Issue,Tester,Cleaning
P ,02/05/2023,"CABLE CONNECTOR, ASSY",085515A-00,Electrical Issue,electrical,Replaced SRU
C ,02/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,02/05/2023,AMC,MB0807D-22,SRU Issue,HT,Replaced SRU
M ,02/05/2023,ANTENNA SWITCH,45-35-00050-01,SRU Issue,electrical,Replaced/add Component
M ,02/05/2023,RMSC,93-30-00200-05,SRU Issue,electrical,No repair action was taken
C ,03/05/2023,AMC,MB0807D-22,SRU Issue,low temp,Replaced SRU
C ,03/05/2023,AMC,MB0807D-22,OPERATOR MISTAKE ELBIT,Workmanship,Retest
C ,03/05/2023,PWA SQUID,109090A-01,Component Issue,electrical,Replaced/add Component
P ,04/05/2023,LCD ASSY,073720A-02,SRU Issue,electrical,Replaced SRU
C ,04/05/2023,AMC,MB0807DA-22,SRU Issue,low temp,Replaced SRU
C ,04/05/2023,AMC,MB0807D-22,SRU Issue,,Replaced SRU
P ,04/05/2023,WCDDM TOP ASSY,MB1403A-00,OPERATOR MISTAKE ELBIT,Workmanship,Reassembly
P ,04/05/2023,WCDDM TOP ASSY,MB1403A-00,Visual Inspection,Optical,Replaced/add Component
C ,07/05/2023,DTD UNIT,MB0946CB-07,Defect LRU,RT,Repair
C ,07/05/2023,DTD UNIT,MB0946C-07,Defect LRU,RT,Repair
C ,07/05/2023,AMC,MB0807DA-22,SRU Issue,Hardware,Replaced SRU
C ,07/05/2023,IC ETHERNET CONT PCI FAST BGA,99609937M,Component Issue,Hardware,Replaced/add Component
C ,07/05/2023,AMC,MB0807DA-22,Assembly Issue,low temp,Reassembly
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
P ,07/05/2023,PROJECTION ASSY,112835A-00,OPERATOR MISTAKE ELBIT,Workmanship,Re Calibration
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,,Changed Test Equipment
C ,07/05/2023,AMC,MB0807D-22,SRU Issue,low temp,Replaced SRU
C ,07/05/2023,AMC,MB0807D-22,SRU Issue,,Replaced SRU
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,,Retest
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,07/05/2023,AMC,MB0807D-22,SRU Issue,low temp,Replaced SRU
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,07/05/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
C ,07/05/2023,AMC,MB0807D-22,Tester Issue,,No repair action was taken
C ,08/05/2023,DTD UNIT,MB0946C-10,Defect LRU,RT,Cleaning
P ,08/05/2023,WCDDM TOP ASSY,MB1403B-01,ECO,electrical,Preform ECO
M ,08/05/2023,RMSC,93-30-00200-05,SRU Issue,low temp,Replaced SRU
P ,08/05/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,Reprograming
M ,08/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
P ,08/05/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,Re Calibration
C ,09/05/2023,AMC,MB0807D-22,Damage Issue,Hardware,Replaced SRU
P ,09/05/2023,"PWA, INTERFACE, MHU (LF)",067443A-02,SRU Issue,electrical,Replaced SRU
P ,09/05/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,Re Calibration
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
P ,09/05/2023,WCDDM TOP ASSY,MB1403B-01,ECO,electrical,Preform ECO
P ,09/05/2023,WCDDM TOP ASSY,MB1403B-01,ECO,electrical,Preform ECO
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,09/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
P ,10/05/2023,WCDDM TOP ASSY,MB1403A-00,OPERATOR MISTAKE ELBIT,Workmanship,Reassembly
P ,10/05/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,Re Calibration
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
P ,10/05/2023,"CABLE CONNECTOR, ASSY",085515A-00,SRU Issue,electrical,Replaced SRU
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,FUEL FLOW,85-70-00530-00,Operator Mistake,electrical,Rework
M ,10/05/2023,FUEL FLOW,85-70-00530-00,Operator Mistake,electrical,Rework
M ,10/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,10/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replaced/add Component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replaced/add Component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replace wrong component
M ,10/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,10/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,11/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,11/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,11/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,11/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,11/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,11/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,11/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,11/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,11/05/2023,FUEL FLOW,85-70-00530-00,Operator Mistake,electrical,Rework
C ,11/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,11/05/2023,AMC,MB0807D-22,SRU Issue,,Replaced SRU
P ,11/05/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,Replaced SRU
M ,14/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,14/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,14/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
M ,14/05/2023,POWER SUPPLY BD DN ASSY,501-31-00620-00,Component Issue,electrical,Replace wrong component
P ,14/05/2023,"PWA, INTERFACE, MHU (LF)",067443A-02,SRU Issue,electrical,Replaced SRU
P ,14/05/2023,LCD ASSY,073720A-02,SRU Issue,electrical,Replaced SRU
P ,14/05/2023,PROJECTION ASSY,112835A-00,SRU Issue,Optical,Replaced SRU
P ,14/05/2023,LCD ASSY,112836A-00,SRU Issue,Optical,Replaced SRU
M ,14/05/2023,LG SIM ASSY,950-31-00400-04,For testing,low temp,Retest
M ,14/05/2023,LG SIM ASSY,950-31-00400-04,Electrical Issue,electrical,Replaced/add Component
C ,15/05/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Can Not Duplicate,low temp,No repair action was taken
C ,15/05/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,15/05/2023,MADU,901-36-00100-04,Tester Issue,low temp,Retest
M ,15/05/2023,RMSC,951-30-00200-00,SRU Issue,electrical,Replaced SRU
M ,15/05/2023,MADU,901-36-00100-04,For testing,low temp,Retest
M ,15/05/2023,MADU,901-36-00100-04,For testing,low temp,Retest
P ,16/05/2023,"PWA, COBE",078898B-01,SRU Issue,electrical,Replaced/add Component
M ,16/05/2023,LG SIM ASSY,950-31-00400-04,For testing,low temp,Retest
C ,17/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,17/05/2023,AMC,MB0807D-22,Tester Issue,,Rework
M ,17/05/2023,"DOWN BOARD ASSY, POWER SUPPLY",501-31-00621-00,Component Issue,electrical,Replaced/add Component
C ,17/05/2023,AMC,MB0807D-22,Component Issue,Hardware,Replaced/add Component
C ,17/05/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Defect LRU,low temp,Repair
C ,17/05/2023,AMC,MB0807D-22,Assembly Issue,Hardware,Reassembly
P ,18/05/2023,WCDDM TOP ASSY,MB1403A-00,Electrical Issue,electrical,Replaced SRU
M ,18/05/2023,LG SIM ASSY,950-31-00400-04,Electrical Issue,HT,Replaced/add Component
C ,19/05/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,19/05/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,21/05/2023,CON. BOARD ASSY,79-83-00200-03,Component Issue,electrical,Replaced/add Component
C ,21/05/2023,"PWA, HDP BASE",106513A-01,Component Issue,electrical,Replaced/add Component
M ,21/05/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,Component Issue,electrical,Replaced/add Component
P ,22/05/2023,WCDDM TOP ASSY,MB1403B-01,Assembly Issue,Workmanship,Reassembly
P ,22/05/2023,WCDDM TOP ASSY,MB1403B-01,Assembly Issue,Workmanship,Reassembly
P ,22/05/2023,WCDDM TOP ASSY,MB1403B-01,Assembly Issue,Workmanship,Reassembly
M ,22/05/2023,MADU,901-36-00100-04,Inspection,Workmanship,Rework
M ,22/05/2023,SMART SIM ASSY,950-31-00350-02,For testing,HT,Retest
C ,22/05/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,22/05/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
M ,23/05/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced SRU
M ,23/05/2023,VCM PAYLOAD,904-80-00200-01,No Problem,No Problem,Retest
C ,23/05/2023,"PWA, SNOWRUNNER GRAPHICS II",018752MA-00,Component Issue,Workmanship,Replaced/add Component
P ,23/05/2023,"PWA, DIGITAL PROCESSING",087321B-02,Component Issue,Workmanship,Replaced/add Component
C ,24/05/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,24/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,24/05/2023,"PWA, DISPLY GENERATOR-CECILE",4.83E+03,SRU Issue,Assembly,Replaced SRU
C ,24/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,24/05/2023,AMC,MB0807D-22,SRU Issue,,Replaced SRU
C ,28/05/2023,AMC,MB0807D-22,Tester Issue,,Retest
C ,28/05/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,28/05/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Defect LRU,RT,Repair
C ,28/05/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Defect LRU,RT,Repair
M ,28/05/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
M ,29/05/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
M ,29/05/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
C ,29/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
M ,29/05/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
C ,29/05/2023,AMC,MB0807D-22,Electrical Issue,electrical,Reassembly
M ,29/05/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
C ,29/05/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,29/05/2023,WCNDM TOP ASSY,MB1402N-01,Documentation Issue,Document,Rework
P ,29/05/2023,WCNDM TOP ASSY,MB1402N-01,Documentation Issue,Document,Rework
M ,31/05/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
C ,31/05/2023,"PWA, SNOWRUNNER GRAPHICS II",018752MA-00,Component Issue,Workmanship,Replaced/add Component
M ,31/05/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
M ,31/05/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
P ,31/05/2023,WCDDM TOP ASSY,MB1403B-01,Tester Issue,Tester,Retest
P ,31/05/2023,WCDDM TOP ASSY,MB1403B-01,Tester Issue,Tester,Retest
M ,31/05/2023,FDR,95-84-00100-01,SRU Issue,electrical,Replaced/add Component
C ,31/05/2023,COMPUTER UNIT- GEN-1,GB1277N-00,SRU Issue,electrical,Replaced SRU
C ,31/05/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
P ,01/06/2023,PROJECTION ASSY,112835A-00,OPERATOR MISTAKE ELBIT,Workmanship,Retest
C ,01/06/2023,COMPUTER UNIT- GEN-1,GB1277N-00,SRU Issue,HT,Replaced SRU
P ,02/06/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE ELBIT,Workmanship,Retest
P ,04/06/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Re Calibration
P ,05/06/2023,WCDDM TOP ASSY,MB1403A-00,Documentation Issue,Document,Rework
M ,05/06/2023,MADU,901-36-00100-04,For testing,low temp,Retest
C ,05/06/2023,AMC,MB0807D-22,Component Issue,Hardware,Replaced/add Component
M ,05/06/2023,EFI BOARD ASSY,80-63-00010-04,Component Issue,electrical,Replaced/add Component
P ,05/06/2023,"CABLE CONNECTOR, ASSY",071309A-01,SRU Issue,electrical,Replaced SRU
P ,05/06/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Replaced SRU
P ,05/06/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Replaced SRU
P ,05/06/2023,WCDDM TOP ASSY,MB1403B-01,SRU Issue,electrical,Reprograming
P ,05/06/2023,WCDDM TOP ASSY,MB1403B-01,SRU Issue,electrical,Reprograming
P ,05/06/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Replaced SRU
P ,06/06/2023,OLED OPTICS ASSY,082712J-00,Optical Issue,Optical,Replaced SRU
M ,06/06/2023,MADU,901-36-00100-04,Calibration Issue,Calibration,Replaced/add Component
M ,06/06/2023,MADU,901-36-00100-04,Calibration Issue,Calibration,Replaced/add Component
M ,06/06/2023,MADU,901-36-00100-04,Calibration Issue,Calibration,Re Calibration
M ,06/06/2023,MADU,901-36-00100-04,Calibration Issue,Calibration,Replaced SRU
C ,06/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,06/06/2023,OLED OPTICS ASSY,082712J-00,SRU Issue,Optical,Replaced SRU
C ,07/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,07/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,07/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,07/06/2023,AMC,MB0807D-22,SRU Issue,Damage,Replaced SRU
M ,08/06/2023,CONTROLLER BOX ASSY,79-83-00300-02,Tester Issue,HT,Fixed Test Equipment
C ,08/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
M ,08/06/2023,MICRO I/O IRIDIUM,98-30-00137-01,Electrical Issue,electrical,Replaced/add Component
M ,08/06/2023,CONTROLLER BOX ASSY,79-83-00300-02,SRU Issue,electrical,Replaced/add Component
P ,09/06/2023,PROJECTION ASSY,112835A-00,Optical Issue,Optical,Replaced SRU
C ,11/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Rework
C ,11/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Replaced SRU
C ,11/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,11/06/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
C ,11/06/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
C ,11/06/2023,AMC,MB0807D-22,SRU Issue,RT,Replaced SRU
M ,11/06/2023,CON. BOARD ASSY,79-83-00200-03,SRU Issue,electrical,Replaced/add Component
M ,11/06/2023,CONTROLLER BOX ASSY,79-83-00300-02,Tester Issue,Hardware,Retest
M ,12/06/2023,MADU,901-36-00100-04,For testing,low temp,Retest
M ,12/06/2023,EGT UNIT,85-51-00050-02,Design Issue,Engineering,D/A
M ,12/06/2023,EGT UNIT,85-51-00050-02,Design Issue,low temp,D/A
M ,12/06/2023,EGT UNIT,85-51-00050-02,Design Issue,low temp,D/A
M ,12/06/2023,EGT UNIT,85-51-00050-02,Design Issue,low temp,D/A
M ,12/06/2023,EGT UNIT,85-51-00050-02,Design Issue,low temp,D/A
M ,12/06/2023,SMART SIM ASSY,950-31-00350-02,For testing,HT,Retest
M ,12/06/2023,SMART SIM ASSY,950-31-00350-02,For testing,low temp,Retest
C ,12/06/2023,AMC,MB0807D-22,Assembly Issue,HT,Reassembly
C ,12/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,12/06/2023,AMC,MB0807D-22,SRU Issue,,Replaced SRU
C ,13/06/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,13/06/2023,PWA PS-ANA-DIG,115961A-01,Component Issue,Workmanship,Replaced/add Component
M ,13/06/2023,GVIU MODULE TOP ASSY,MB669B-03,Tester Issue,electrical,Retest
M ,13/06/2023,GVIU MODULE TOP ASSY,MB669B-03,Tester Issue,electrical,Retest
P ,13/06/2023,LCD ASSY,112836A-00,Visual Inspection,Optical,Replaced SRU
M ,13/06/2023,FLIGHT CONTROL UNIT (FCU) ASSY,MA812D-01,Component Issue,Calibration,Replaced/add Component
P ,13/06/2023,"CABLE CONNECTOR, ASSY",085515A-00,SRU Issue,electrical,Replaced SRU
C ,13/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,13/06/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,14/06/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Tester Issue,HT,Retest
